domain,uniq_human_visitors,uniq_bot_visitors,total_visitor_count,language_code,site_type
dsb.wikipedia.org,174,7055,7229,dsb,wikipedia
ms.wikibooks.org,12,7137,7149,ms,wikibooks
li.wikibooks.org,12,7076,7088,li,wikibooks
gn.wikipedia.org,279,6770,7049,gn,wikipedia
mi.wikipedia.org,119,6891,7010,mi,wikipedia
hy.m.wikisource.org,4530,2389,6919,hy,wikisource
kl.wikipedia.org,115,6768,6883,kl,wikipedia
de.wikivoyage.org,840,5973,6813,de,wikivoyage
jam.wikipedia.org,88,6655,6743,jam,wikipedia
tr.m.wikiquote.org,1526,5212,6738,tr,wikiquote
uk.m.wiktionary.org,1733,4978,6711,uk,wiktionary
lad.wikipedia.org,146,6506,6652,lad,wikipedia
pih.wikipedia.org,92,6508,6600,pih,wikipedia
ne.m.wikipedia.org,4167,2377,6544,ne,wikipedia
ar.wikisource.org,2134,4355,6489,ar,wikisource
jbo.wikipedia.org,88,6385,6473,jbo,wikipedia
mt.wikipedia.org,289,6164,6453,mt,wikipedia
csb.wikipedia.org,186,6266,6452,csb,wikipedia
de.wikisource.org,1655,4782,6437,de,wikisource
m.wikisource.org,2984,3448,6432,m,wikisource
tl.wikibooks.org,76,6346,6422,tl,wikibooks
es.wikisource.org,1628,4738,6366,es,wikisource
th.wiktionary.org,810,5536,6346,th,wiktionary
ig.wikipedia.org,141,6192,6333,ig,wikipedia
mr.wikipedia.org,3345,2945,6290,mr,wikipedia
ta.m.wikisource.org,3368,2911,6279,ta,wikisource
tg.m.wikipedia.org,3426,2777,6203,tg,wikipedia
si.wikipedia.org,1975,4222,6197,si,wikipedia
ckb.m.wikipedia.org,3618,2576,6194,ckb,wikipedia
rw.wikipedia.org,161,5989,6150,rw,wikipedia
pms.wikipedia.org,213,5879,6092,pms,wikipedia
uk.m.wikisource.org,2760,3320,6080,uk,wikisource
pl.m.wikiquote.org,2827,3233,6060,pl,wikiquote
ro.m.wiktionary.org,1287,4755,6042,ro,wiktionary
rue.wikipedia.org,788,5218,6006,rue,wikipedia
pa.m.wikipedia.org,3159,2844,6003,pa,wikipedia
ang.wikipedia.org,386,5611,5997,ang,wikipedia
yi.wikipedia.org,543,5417,5960,yi,wikipedia
zu.wikipedia.org,145,5811,5956,zu,wikipedia
ceb.m.wikipedia.org,1649,4286,5935,ceb,wikipedia
roa-tara.wikipedia.org,96,5776,5872,roa-tara,wikipedia
kg.wikipedia.org,72,5798,5870,kg,wikipedia
bat-smg.wikipedia.org,314,5542,5856,bat-smg,wikipedia
az.wikibooks.org,58,5786,5844,az,wikibooks
pl.wikiquote.org,1153,4670,5823,pl,wikiquote
pl.m.wikisource.org,2325,3482,5807,pl,wikisource
kaa.wikipedia.org,109,5626,5735,kaa,wikipedia
mhr.wikipedia.org,238,5490,5728,mhr,wikipedia
ln.wikipedia.org,105,5580,5685,ln,wikipedia
ro.m.wikisource.org,2336,3346,5682,ro,wikisource
es.m.wikibooks.org,1401,4244,5645,es,wikibooks
ts.wikipedia.org,61,5567,5628,ts,wikipedia
bi.wikipedia.org,68,5539,5607,bi,wikipedia
cbk-zam.wikipedia.org,96,5500,5596,cbk-zam,wikipedia
zh.wikisource.org,1782,3771,5553,zh,wikisource
ta.wiktionary.org,414,5100,5514,ta,wiktionary
om.wikipedia.org,95,5406,5501,om,wikipedia
id.m.wikibooks.org,1179,4231,5410,id,wikibooks
tet.wikipedia.org,104,5284,5388,tet,wikipedia
de.wikiquote.org,389,4985,5374,de,wikiquote
sm.wikipedia.org,70,5280,5350,sm,wikipedia
et.wiktionary.org,289,5030,5319,et,wiktionary
fa.m.wikisource.org,1046,4269,5315,fa,wikisource
lld.wikipedia.org,93,5143,5236,lld,wikipedia
bg.wiktionary.org,1885,3305,5190,bg,wiktionary
fr.wikiversity.org,900,4256,5156,fr,wikiversity
en.wikinews.org,695,4426,5121,en,wikinews
km.m.wiktionary.org,1375,3741,5116,km,wiktionary
uz.m.wiktionary.org,1464,3630,5094,uz,wiktionary
sk.wikibooks.org,32,5061,5093,sk,wikibooks
cdo.wikipedia.org,230,4743,4973,cdo,wikipedia
pa.wikipedia.org,551,4399,4950,pa,wikipedia
wo.wikipedia.org,89,4838,4927,wo,wikipedia
he.wikisource.org,2309,2598,4907,he,wikisource
bn.m.wikisource.org,2936,1968,4904,bn,wikisource
thankyou.wikipedia.org,4638,234,4872,thankyou,wikipedia
fa.m.wiktionary.org,893,3961,4854,fa,wiktionary
uk.wikibooks.org,39,4768,4807,uk,wikibooks
de.m.wikivoyage.org,1705,3067,4772,de,wikivoyage
so.m.wikipedia.org,2729,2029,4758,so,wikipedia
lt.wiktionary.org,390,4296,4686,lt,wiktionary
ka.wikibooks.org,10,4647,4657,ka,wikibooks
species.m.wikimedia.org,1123,3521,4644,species,wikimedia
it.wikivoyage.org,535,4087,4622,it,wikivoyage
gcr.wikipedia.org,100,4494,4594,gcr,wikipedia
no.wiktionary.org,514,4056,4570,no,wiktionary
ff.wikipedia.org,47,4506,4553,ff,wikipedia
hy.wiktionary.org,1098,3413,4511,hy,wiktionary
ace.wikipedia.org,236,4215,4451,ace,wikipedia
ee.wikipedia.org,54,4391,4445,ee,wikipedia
ku.wiktionary.org,208,4169,4377,ku,wiktionary
bcl.m.wikipedia.org,2828,1541,4369,bcl,wikipedia
ru.m.wikibooks.org,1869,2500,4369,ru,wikibooks
hu.m.wiktionary.org,962,3394,4356,hu,wiktionary
szy.wikipedia.org,54,4296,4350,szy,wikipedia
wikisource.org,763,3578,4341,wikisource,wikisource
am.m.wikipedia.org,2697,1618,4315,am,wikipedia
ha.m.wikipedia.org,2351,1959,4310,ha,wikipedia
ar.m.wikiquote.org,776,3511,4287,ar,wikiquote
ca.m.wiktionary.org,1327,2946,4273,ca,wiktionary
hi.m.wiktionary.org,718,3446,4164,hi,wiktionary
simple.m.wiktionary.org,843,3297,4140,simple,wiktionary
ss.wikipedia.org,58,4065,4123,ss,wikipedia
es.m.wikiversity.org,1058,3063,4121,es,wikiversity
eu.wiktionary.org,34,4030,4064,eu,wiktionary
km.wikipedia.org,2393,1667,4060,km,wikipedia
min.m.wikipedia.org,2712,1330,4042,min,wikipedia
jv.m.wikipedia.org,2187,1851,4038,jv,wikipedia
pt.m.wikibooks.org,1069,2969,4038,pt,wikibooks
ay.wikipedia.org,100,3926,4026,ay,wikipedia
so.wikipedia.org,468,3558,4026,so,wikipedia
srn.wikipedia.org,49,3929,3978,srn,wikipedia
my.wikipedia.org,2055,1851,3906,my,wikipedia
mr.m.wikisource.org,2262,1625,3887,mr,wikisource
roa-rup.wikipedia.org,81,3800,3881,roa-rup,wikipedia
kbp.wikipedia.org,95,3782,3877,kbp,wikipedia
